EXECYEAR,DATE_START,VOLUMEDREDGED,RIVER,POOL,UP_RIV_MIL,DN_RIV_MIL,week_of_year,lead_7,lead_14,BEAI2,BRLI4,CMMI4,COPI2,DBQI4,FAII4,GGYM7,HAVI2,HNNM7,HNYI2,IL03,IL03_Tail,IL04,IL04_Tail,IL05,IL05_Tail,IL06,IL06_Tail,IL07,IL07_Tail,IL08,IL08_Tail,KHBI2,KNGI2,LSLI2,MI11,MI11_Tail,MI12,MI12_Tail,MI13,MI13_Tail,MI14,MI14_Tail,MI15,MI15_Tail,MI16,MI16_Tail,MI17,MI17_Tail,MI18,MI18_Tail,MI19,MI19_Tail,MI20,MI20_Tail,MI21,MI21_Tail,MI22,MI22_Tail,MORI2,MUSI4,PIAI2,UINI2,05552500,05527500,05585000,05446500,05583000,05570000,05555300
2002,2002-08-26T00:00:00Z,0,Mississippi_River,14,517.7,516,34,2002-08-25T23:59:53Z,2002-08-25T23:59:46Z,431.94,522.97,574.53,437.97,595.68,545.6,482.33,436.4,461.77,442.42,538.6,505.38,504.92,486.48,483.41,460.03,458.96,444.8,439.65,439.65,429.37,429.37,533.48,438.45,444.17,602.93,595.95,592.05,588.81,582.7,576.73,571.99,563.24,560.99,551.22,544.18,541.3,536.43,536.14,528.08,524.63,518.16,486.04,478.16,477.59,470.05,468.01,459.51,456.64,484.96,540.18,440.75,470.76,469.65,512.88,446.75,572.37,461.27,475.88,526.64
2015,2015-05-12T00:00:00Z,0,Mississippi_River,13,548.8,547.3,19,2015-05-11T23:59:53Z,2015-05-11T23:59:46Z,432.04,521.61,573.47,439.27,594.4,545.33,480.16,437.11,460.72,444.55,538.92,505.87,504.91,489.58,483.13,461.62,458.9,449.14,441.15,441.15,429.92,429.92,531.43,439.89,448.34,603.26,594.64,592.29,586.86,583.03,574.91,572.02,562.46,561.05,549.22,544.63,538.84,535.25,533.49,527.68,522.76,518.37,483.18,477.73,475.11,469.79,465.09,459.14,454.21,487.77,537.85,442.36,469.95,470.7199997,514.45,440.38,571.16,463.34,476.16,529.94
2015,2015-04-30T00:00:00Z,0,Mississippi_River,13,529.3,529.3,18,2015-04-29T23:59:53Z,2015-04-29T23:59:46Z,430.3,521.72,573.97,437.15,594.34,545.54,481.32,435.25,461.69,441.73,539.07,505.14,504.79,485.34,483.15,459.65,459.01,444.02,438.99,438.99,428.08,428.08,531.8,437.92,443.66,602.87,594.61,591.82,587.35,583.05,575.54,572.23,562.69,561.12,549.7,544.8,539.38,535.5,534.21,527.77,522.95,518.17,484.48,478.09,476.6,470.05,466.55,459.7,455.3,484.64,538.42,440.1,470.35,469.2000002,513.29,437.52,570.88,458.34,473.83,526.07
2010,2010-09-22T00:00:00Z,0,Mississippi_River,13,544.1,543.1,38,2010-09-21T23:59:53Z,2010-09-21T23:59:46Z,429.83,522.05,574.22,431.54,595.34,546.02,481.68,430.67,462.33,440.61,538.7,504.64,504.71,483.84,483.38,459.17,459,441.58,440.24,431.36,429.29,424.23,531.72,431.14,441.06,603.48,595.59,591.86,588.58,583.08,576.24,571.88,563.09,561.21,550.41,545.35,539.96,536.09,534.41,528.09,523.24,518.28,485.26,478.72,476.74,470.43,468.12,459.74,456.54,483.78,538.93,440.42,470.79,468.2000002,511.97,444.93,570.82,457.65,473.56,524.21
2015,2015-03-25T00:00:00Z,0,Mississippi_River,13,556.9,556.7,12,2015-03-24T23:59:53Z,2015-03-24T23:59:46Z,432.27,521.56,573.97,438.52,594.85,545.44,479.54,436.76,460.9,442.49,538.94,505.31,505.01,485.73,483.23,459.65,458.88,444.66,440.11,440.11,430.3,430.3,531.51,439.24,444.45,602.81,595.16,591.9,587.9,582.71,575.78,571.9,562.76,560.99,549.88,544.59,539.73,535.81,533.85,527.66,522.78,518.16,482.84,476.96,474.92,470.32,464.86,459.58,453.76,484.75,538.8,441.07,470.48,469.4,513.31,437.52,569.98,458.67,473.51,526.09
2009,2009-04-22T00:00:00Z,0,Mississippi_River,13,538.9,537.3,16,2009-04-21T23:59:53Z,2009-04-21T23:59:46Z,440.78,523.47,575.11,445.33,596.12,545.98,481.88,443.75,462.6,448.77,538.74,505.38,504.82,488.36,483.14,462.4,458.98,451.81,447.23,447.23,439.05,439.05,533.4,445.9,451.04,602.97,596.33,592.15,589.26,583.03,577.36,572.04,563.62,561.03,552.2,544.03,542.25,536.82,536.51,527.7,524.99,518.27,485.64,477.84,477.43,470.08,467.92,460.11,456.8,488.23,540.98,447.96,470.6,471.1699995,514.57,446.64,575.36,464.76,485.39,530.87
2008,2008-06-02T00:00:00Z,0,Mississippi_River,13,532.7,531.2,22,2008-06-01T23:59:53Z,2008-06-01T23:59:46Z,431.19,525.55,577.03,436.08,596.41,547.27,485.3,434.8,464.4,442.62,538.76,504.73,504.7,488.81,483.43,461.09,458.89,447.14,440.89,436.79,429.02,429.02,535.56,436.47,446.28,602.76,596.51,592.05,590.77,582.74,579.86,572.17,565.09,561.03,553.97,545.09,544.55,539.71,539.52,528.05,527.45,518.22,488.96,480.95,480.39,471.99,471.25,460.44,459.89,486.64,543.75,441.11,472.84,469.5300002,515.25,437.22,573.41,463.32,475.24,531.93
2014,2014-07-23T00:00:00Z,0,Mississippi_River,13,548.7,547.3,30,2014-07-22T23:59:53Z,2014-07-22T23:59:46Z,434.86,525.28,576.16,440.09,597.26,546.4,485.48,438.26,464.8,442.86,538.96,504.93,504.92,484.67,483.14,459.41,458.96,444.16,441.18,441.18,432.99,432.99,534.91,440.44,443.92,602.98,597.73,592.13,590.98,583.15,578.91,571.85,564.34,560.77,553.03,544.06,543.56,538.63,538.39,527.64,527.09,518,488.92,481.22,480.69,472.2,471.4,461.05,460.36,484.14,542.32,442.05,473,468.5799999,512.61,436.12,571.9,459.89,472.65,525.67
2007,2007-06-27T00:00:00Z,0,Mississippi_River,12,579.3,579.3,26,2007-06-26T23:59:53Z,2007-06-26T23:59:46Z,430.79,521.59,572.76,433.11,593.4,545.23,481.37,432.04,461.73,441.81,538.67,504.74,504.77,484.65,483.39,459.79,458.91,443.8,440.54,434.2,430,425.15,531.41,433.72,442.95,602.82,593.47,591.91,585.53,582.89,573.95,571.7,562.04,560.96,548.22,544.82,538.54,535.72,533.78,527.72,522.84,518.15,484.78,478.15,476.48,469.8,466.77,459.64,455.66,484.33,537.56,440.76,470.2,468.4700002,512.78,447.21,569.97,458.8,473.44,526.5
2006,2006-05-04T00:00:00Z,0,Mississippi_River,13,527.4,526.8,18,2006-05-03T23:59:53Z,2006-05-03T23:59:46Z,430.09,523.56,575.45,435.58,596.4,545.84,483.16,434.12,462.6,442.35,538.72,504.9,504.79,486.67,483.47,460.21,458.93,445.17,441.04,436.65,427.8,427.8,533.67,435.91,444.85,603.07,596.52,592.01,589.78,582.92,578.03,571.85,563.97,561.09,551.95,543.7,542.1,537.05,536.79,527.92,525.23,518.36,486.9,478.94,478.32,470.52,468.73,459.28,457.39,485.48,540.97,441.49,471.07,469.7400002,513.23,438.01,571.92,460.7,475.83,527.83
2010,2010-07-01T00:00:00Z,0,Mississippi_River,13,538.9,537.3,26,2010-06-30T23:59:53Z,2010-06-30T23:59:46Z,445.05,526.98,576.92,448.26,597.52,548.3,489.25,447.2,468.94,450.98,538.65,504.87,504.74,488,483.26,461.11,458.99,452.4,449.86,449.86,443.52,443.52,536.79,448.85,451.98,603.05,598.05,591.98,591.59,583.12,579.72,571.99,565.07,561.03,554.42,546.05,545.56,541.02,540.75,529.42,528.93,518.21,492.97,485.25,484.35,476.68,475.95,465.27,464.8,486.76,544.42,450.6,477.48,471.19,513.75,445.19,575.43,466.33,478.38,526.73
2006,2006-07-18T00:00:00Z,0,Mississippi_River,13,532.7,531.2,29,2006-07-17T23:59:53Z,2006-07-17T23:59:46Z,429.57,518.83,572.43,432.18,592.76,545.47,480.09,431.17,459.77,441.31,538.6,504.97,505.05,484.72,483.38,459.55,458.98,442.36,440.81,433.15,429.16,422.78,528.73,432.38,442.17,603.14,592.47,592.28,583.66,583.05,572.92,572.22,561.36,561.14,546.07,545.36,536.88,536.21,529.38,528.16,519.34,518.19,480.23,480.03,471.02,470.2,460.65,459.58,450.23,484.25,536.66,440.93,470.23,467.5300002,512.74,435.07,569.35,456.93,471.35,525.23
2012,2012-09-05T00:00:00Z,0,Mississippi_River,13,533.8,532.7,36,2012-09-04T23:59:53Z,2012-09-04T23:59:46Z,429.6,518.38,572.3,430.29,592.67,545.35,479.89,429.8,459.24,440.44,538.54,504.73,504.65,484.62,483.48,459.14,458.91,441.03,440.21,430.59,429.22,420.29,528.32,430.32,440.81,603.09,592.66,592.09,583.74,583.17,572.7,572.08,561.21,561.01,545.98,545.34,537.02,536.41,528.53,527.96,518.57,518.02,480.23,479.92,470.24,469.86,459.79,459.17,449.6,484.21,536.69,440.91,469.87,467.0999998,512.04,435.03,567.42,456.96,471.45,524.78
2004,2004-10-07T00:00:00Z,0,Mississippi_River,13,538.6,537.5,41,2004-10-06T23:59:53Z,2004-10-06T23:59:46Z,429.77,520.3,572.97,430.25,594.13,545.56,479.54,430.18,460.44,440.46,538.94,504.87,504.99,483.78,483.36,458.76,458.87,440.9,440.36,430.68,429.52,420.43,530.34,430.44,440.84,602.91,594.25,592.01,586.48,583.06,574.35,571.64,562.14,561.07,548.53,545.26,538.38,535.61,531.97,527.92,521.26,518.23,481.76,478.7,473.18,470.07,462.85,459.65,452.13,483.95,537.54,440.41,470.02,467.1100001,512.08,435.85,568.23,456,471.06,524.1
1999,1999-05-25T00:00:00Z,0,Mississippi_River,13,544.6,544,21,1999-05-24T23:59:53Z,1999-05-24T23:59:46Z,437.87,528.22,579.04,443.01,600.44,549.84,488.98,440.95,467.65,446.19,538.74,504.66,504.73,486.83,483.2,460.29,459.03,448.03,444.8,444.8,436.22,436.22,538.98,444.12,447.64,603.17,601.49,594.28,593.94,583.29,582.18,572.03,566.93,561.15,556.9,548.25,547.79,543.06,542.87,531.16,530.56,518.22,493.09,484.76,483.96,475.89,475.09,464.16,463.67,485.34,546.83,445.49,476.68,470.5499997,513.03,439.53,575.47,460.57,476.95,526.97
2014,2014-07-28T00:00:00Z,0,Mississippi_River,13,534,532.6,30,2014-07-27T23:59:53Z,2014-07-27T23:59:46Z,431.3,522.99,574.56,435.94,595.28,545.67,483.23,434.63,462.84,440.34,538.74,505,504.89,483.99,483.22,459.1,458.92,441.31,439.85,435.88,429.33,429.33,533.05,436.32,441.15,602.84,595.52,592.41,588.34,582.93,576.53,572.21,562.93,560.66,550.59,544.56,540.8,536.32,535.64,528.08,524.55,518,486.53,479.04,478.52,470.07,469.07,459.17,458.12,483.62,539.68,440.06,470.81,468.0900001,512.36,437.64,571.13,457.42,472.43,525.23
2004,2004-08-16T00:00:00Z,0,Mississippi_River,13,527.6,526.9,33,2004-08-15T23:59:53Z,2004-08-15T23:59:46Z,429.72,519.7,572.7,430.9,593.2,545.35,480.39,430.44,460.19,440.56,538.73,504.87,504.78,483.83,483.41,459.19,458.87,440.92,440.2,431.65,429.33,420.66,529.66,431.14,440.9,602.96,593.23,591.76,585.23,582.95,573.59,571.98,561.71,561.06,547.44,545.22,537.62,535.72,531,527.87,520.57,518.36,481.03,480.11,472.78,470.45,461.97,459.57,451.62,483.68,536.92,440.26,470.47,467.67,511.9,435.4,569.88,456.19,471.03,524.135
2001,2001-08-30T00:00:00Z,0,Mississippi_River,13,539.3,538.5,35,2001-08-29T23:59:53Z,2001-08-29T23:59:46Z,429.69,519.74,572.89,433.41,593.02,545.43,479.68,431.85,459.63,441.3,538.76,504.76,504.69,485.3,483.59,459.19,458.95,441.94,440.35,434.64,429.26,423.1,529.67,433.73,441.98,602.9,593.04,591.69,585.14,582.98,573.91,572.06,562.03,561.16,547.85,545.09,537.98,535.9,531.06,528.01,520.49,518.37,480.35,478.85,472.09,469.96,462,459.61,451.27,484.33,537.35,440.74,469.96,467.7400002,512.25,437.29,568.94,455.89,471.19,524.3
2011,2011-09-21T00:00:00Z,0,Mississippi_River,13,530.8,529.8,38,2011-09-20T23:59:53Z,2011-09-20T23:59:46Z,429.47,518.97,572.62,430.92,593.19,545.25,479.94,430.25,460.07,440.59,539.01,504.76,504.74,483.77,483.48,458.76,458.8,441.05,440.16,431.58,429.11,421.65,529.41,431.04,441.21,603.19,593.3,592.16,585.22,583.12,573.56,571.86,561.61,560.96,547.12,545.08,537.59,535.95,530.3,527.76,520.38,518.27,480.71,479.62,471.86,469.97,461.65,459.62,451.02,483.66,536.94,440.54,469.96,467.6100001,511.94,435.27,568.93,455.65,471.19,524.28
2014,2014-05-06T00:00:00Z,0,Mississippi_River,13,530,528.6,18,2014-05-05T23:59:53Z,2014-05-05T23:59:46Z,430.93,527.29,579.69,435.33,602.66,549.91,486.25,433.75,465.39,441.52,538.92,505.01,504.97,484.76,483.23,459.37,459.04,443.47,440.56,436.34,429.68,426.31,537.65,435.75,442.62,603.91,603.55,595.99,595.47,583.99,583.41,571.34,567.12,560.53,557.1,548.27,547.78,542.19,541.96,529.95,529.41,518.13,490.16,482,481.52,472.96,472.21,461.43,460.79,484.07,546.36,441.06,473.78,469.3899998,513.07,437.14,572.43,458.24,472.87,525.71
2011,2011-05-31T00:00:00Z,0,Mississippi_River,13,544,543,22,2011-05-30T23:59:53Z,2011-05-30T23:59:46Z,440.1,527.69,577.53,445.73,599.31,548.84,489.3,443.78,468.65,451.26,538.87,506.14,504.84,495.17,483.17,465.91,458.74,456.59,448.3,448.3,437.96,437.96,537.47,446.64,455.08,602.86,599.93,593.22,592.81,582.98,580.61,571.88,565.47,561,555.43,546.97,546.55,541.59,541.38,530.16,529.71,518.16,493.15,485.21,484.48,476.65,475.9,464.8,464.32,492.61,545.26,449.67,477.47,474.4299998,515.65,452.02,576.21,467,489.51,531
2011,2011-05-24T00:00:00Z,0,Mississippi_River,13,534,532.5,21,2011-05-23T23:59:53Z,2011-05-23T23:59:46Z,436.48,525.85,577.74,441.79,598.73,548.07,485.61,440.17,464.83,444.79,538.97,504.66,504.77,486.55,483.43,459.88,458.9,446.52,443.22,443.22,434.73,434.73,535.91,442.32,446.38,602.95,599.31,592.92,592.52,582.95,580.93,571.98,565.57,560.95,554.97,545.94,545.46,539.91,539.66,528.15,527.71,518.11,489.42,481.39,480.71,472.49,471.64,460.9,460.36,485.44,544.05,444.16,473.3,469.5399999,514.03,438.87,574.71,460.55,476.02,527.72
2005,2005-03-28T00:00:00Z,0,Mississippi_River,13,525.8,525.6,13,2005-03-27T23:59:53Z,2005-03-27T23:59:46Z,430.7,520.36,573.19,435.35,594.39,545.8,480.31,434.06,460.48,442.37,538.55,505.05,504.66,486.17,483.22,460.19,458.99,444.66,440.74,436.49,430.31,426.46,530.23,435.73,444.14,602.94,594.4,592.31,586.56,583.08,574.42,572.13,561.99,561.04,548.64,545.41,538.44,535.8,531.71,527.93,521.3,518.21,482.19,479.54,473.28,469.98,462.89,459.58,452.21,485.55,537.62,441.1,469.94,469.5599999,513.35,439.51,571.55,460.41,475.66,526.34
2011,2011-05-26T00:00:00Z,0,Mississippi_River,12,561,559.5,21,2011-05-25T23:59:53Z,2011-05-25T23:59:46Z,437.11,526.92,577.52,442.24,598.56,548.34,488.8,441.2,467.09,445.87,538.79,507.46,504.92,494.37,483.39,463.82,458.87,451.32,443.51,443.51,435.3,435.3,536.48,442.61,451.32,602.95,599.14,592.78,592.39,582.89,580.54,572.09,565.42,560.99,555.14,546.31,545.8,540.49,540.26,529.18,528.71,518.33,492.99,484.34,483.58,475.3,474.57,463.08,462.55,491.13,544.42,444.41,476.04,472.7000002,515.77,451.47,574.77,461.6,487.38,535.55
2012,2012-10-01T00:00:00Z,0,Mississippi_River,12,567.6,565.9,40,2012-09-30T23:59:53Z,2012-09-30T23:59:46Z,429.64,518.51,572.13,430,592.41,545.61,480.53,429.59,459.82,440.18,538.75,504.75,504.65,483.68,483.49,458.88,458.84,440.5,440.03,429.97,429.29,419.85,528.13,430.12,440.39,603.28,592.42,592.09,583.35,583.11,572.45,571.97,560.91,560.71,546.03,545.6,536.55,535.97,528.57,527.97,518.74,518.02,480.56,480.55,470.45,470.07,460.3,459.73,449.64,483.88,536.2,440.26,469.98,467.0199999,511.83,434.44,567.55,455.28,470.45,524.07
2003,2003-10-07T00:00:00Z,0,Mississippi_River,12,569,567.5,40,2003-10-06T23:59:53Z,2003-10-06T23:59:46Z,429.83,519.01,572.21,430.25,592.52,545.5,480.36,429.88,459.63,440.55,539.06,504.77,504.81,483.82,483.36,459.1,458.92,440.58,440.4,430.53,429.45,419.71,528.49,430.34,440.63,603.14,592.6,592.08,583.82,583.11,572.69,571.91,561.28,561.04,546.17,545.39,536.48,535.71,529.01,527.99,519.39,518.37,480.42,480.15,470.22,470.04,460.07,459.3,449.91,484.11,536.04,440.6,470,466.9700002,512.02,435.62,567.26,456.09,470.74,524.03
2012,2012-06-11T00:00:00Z,0,Mississippi_River,12,574.3,574.1,24,2012-06-10T23:59:53Z,2012-06-10T23:59:46Z,429.62,523.42,576.93,431.02,598.78,546.21,481.59,430.34,461.81,440.49,538.84,504.96,504.92,484.08,483.54,458.78,458.77,440.44,440.01,431.32,429.17,421.29,533.7,430.95,440.96,603.04,599.33,592.81,592.4,583.25,579.91,572.23,565.04,561,553.22,543.91,543.09,537.33,536.98,527.82,525.11,518.21,485.73,477.5,477.13,470.26,467.1,459.72,455.9,483.92,541.65,440.1,470.6,467.5799999,512.14,435.69,569.12,455.91,472.42,525.02
2001,2001-12-11T00:00:00Z,0,Mississippi_River,13,539.8,539.6,50,2001-12-10T23:59:53Z,2001-12-10T23:59:46Z,430.42,520.9,573.95,435.43,594.91,545.71,481.78,433.74,460.26,441.68,538.72,504.75,504.86,484.31,483.31,459.4,458.99,442.68,440.4,436.63,429.48,425.18,530.96,435.81,442.58,603.1,595.07,592,587.64,583.14,575.83,572.21,562.7,561.2,549.7,545.05,539.27,535.71,533.06,527.87,521.97,518.17,483.65,480.81,474.48,470.41,464.34,459.62,453.48,483.92,538.39,440.8,470.53,468.8400001,512.98,436.69,570.45,457.32,471.91,525.74
2015,2015-03-24T00:00:00Z,0,Mississippi_River,17,437.3,437,12,2015-03-23T23:59:53Z,2015-03-23T23:59:46Z,432.58,521.67,574.03,438.93,594.99,545.51,480.1,437.14,460.64,442.56,538.91,505.51,504.88,486.95,483.27,460.09,459.04,444.82,440.59,440.58,430.57,430.57,531.71,439.68,444.4,602.89,595.3,591.93,587.95,582.59,575.9,571.8,562.78,560.88,550.11,544.64,539.92,535.68,534.15,527.74,522.92,518.17,483.47,477.59,475.21,470.33,464.74,459.23,453.69,485.46,538.93,441.5,470.46,469.3800001,513.35,437.52,570.44,458.6,473.41,526.14
2015,2015-05-21T00:00:00Z,0,Mississippi_River,17,448,447,21,2015-05-20T23:59:53Z,2015-05-20T23:59:46Z,433.27,521.23,573.49,439.39,594.59,545.84,480.57,437.6,460.76,442.76,538.83,505.28,504.77,485.63,483.2,459.97,458.98,444.75,440.84,440.84,431.29,431.29,531.34,440.11,444.42,603.36,594.87,592.16,587.34,582.95,575.16,571.79,562.42,560.79,549.53,545.27,539.22,535.82,533.5,528.03,522.37,518.25,483.56,478.22,475.29,470.36,464.81,459.49,453.72,484.82,538.34,441.8,470.49,469.1199998,513.22,437.67,570.51,460.4,473.9,526.4
2006,2006-04-19T00:00:00Z,0,Mississippi_River,17,455.5,455.5,16,2006-04-18T23:59:53Z,2006-04-18T23:59:46Z,431.43,525.75,578.43,438.34,600.64,548.53,485.5,436.25,464.71,444.49,538.71,505.35,504.85,491.78,483.07,462.95,458.91,450.88,440.42,440.42,428.92,428.92,535.91,439.01,450.02,603.45,601.04,594.27,593.87,583.08,582,571.85,566.17,560.93,555.51,546.39,545.8,540.34,540.05,528.33,527.66,518.34,489.45,481.3,480.64,472.36,471.37,460.74,460.15,489.63,544.57,441.4,473.05,469.8600001,515.38,437.46,572.8,461.5,476.7,533.5
2003,2003-10-22T00:00:00Z,0,Mississippi_River,12,567.5,566.3,43,2003-10-21T23:59:53Z,2003-10-21T23:59:46Z,429.71,518.73,572.41,430.77,592.41,545.57,481.03,430.29,459.88,440.61,539.05,504.72,504.86,484.11,483.48,459.32,458.84,441.12,440.49,431.3,429.21,420.83,528.38,430.97,441.04,603.01,592.44,592.01,583.74,583.25,572.89,572.2,561.33,561.13,546.28,545.46,536.45,535.75,528.98,528.06,519.07,518.19,480.8,480.9,470.74,470.52,460.31,459.54,449.86,484.68,536.02,440.81,470.46,466.98,512.23,435.85,567.61,456.2,470.97,524.1
2012,2012-09-24T00:00:00Z,0,Mississippi_River,12,559.2,556.9,39,2012-09-23T23:59:53Z,2012-09-23T23:59:46Z,429.47,518.31,572.32,430.15,592.49,545.2,480.24,429.62,459.78,440.56,538.84,504.87,504.81,483.78,483.49,458.96,458.83,440.42,440.04,430.16,429.24,420.1,528.31,430.09,440.8,603.49,592.53,592.16,583.42,583.08,572.68,572.16,561.24,561.1,545.51,545.19,536.16,535.61,528.36,527.7,518.56,517.83,480.11,480.21,470.48,470.17,460.21,459.67,449.7,483.93,535.84,440.29,470.06,467.0599999,511.77,434.55,567.8,455.32,470.53,524.04
2012,2012-07-30T00:00:00Z,0,Mississippi_River,17,457.2,456.4,31,2012-07-29T23:59:53Z,2012-07-29T23:59:46Z,429.53,519.47,572.79,430.25,593.34,545.31,479.91,429.8,460.11,440.66,538.67,504.63,504.59,484.16,483.38,458.98,458.86,441.1,440.39,430.59,429.15,420.45,529.4,430.42,440.89,603.01,593.42,591.85,585.61,582.98,573.79,571.98,561.77,560.99,547.46,545.18,537.53,535.61,530.66,527.74,520.27,518.2,480.76,479.54,472.26,470.34,461.55,459.7,450.91,483.76,536.83,440.6,470.3,467.0399999,511.69,434.56,567.82,455.28,470.67,523.98
2001,2001-06-27T00:00:00Z,0,Mississippi_River,13,534.6,532.3,26,2001-06-26T23:59:53Z,2001-06-26T23:59:46Z,432.65,526.34,578.52,439.12,600.91,548.51,486.61,436.8,465.55,441.34,538.74,505.04,504.93,484.6,483.57,459.09,458.92,442.18,439.55,439.55,430.72,430.72,537.06,438.71,442.21,603.2,601.41,594.31,593.67,583.21,582.03,572.08,566.22,561.12,555.45,546.35,545.93,540.43,540.25,529.74,528.22,518.23,490.34,482.47,481.73,473.4,472.78,461.84,461.44,484.03,544.61,440.38,474.38,468.9500002,512.61,438.13,572.02,458.14,474.56,525.61
2004,2004-07-12T00:00:00Z,0,Mississippi_River,13,532.2,531.7,28,2004-07-11T23:59:53Z,2004-07-11T23:59:46Z,431.27,523.31,574.5,434.63,595.59,546.05,482.83,433.59,462.95,441.68,538.76,505.01,504.78,484.86,483.43,459.6,458.95,442.99,440.58,435.6,430.15,425.95,533.44,434.96,442.77,603.38,595.73,592.02,588.63,582.78,576.63,571.77,563.26,561,551.24,544.63,541.43,536.69,536.39,528.09,524.96,518.2,486.7,478.88,478.38,470.39,468.78,459.63,457.41,484.34,540.14,440.91,470.98,469.21,512.83,440.69,573.71,460.35,474.01,526.35
2009,2009-05-07T00:00:00Z,0,Mississippi_River,13,533.2,533,19,2009-05-06T23:59:53Z,2009-05-06T23:59:46Z,443.52,526.12,576.05,447.6,596.84,547.34,486.62,445.94,466.24,450.8,538.82,505.42,504.6,487.4,483.23,462.54,458.95,452.9,449.43,449.43,442.02,442.02,535.75,448,452.39,603.18,597.19,592.07,590.41,583.4,578.53,572.03,564.45,561.11,553.74,545.08,544.56,539.7,539.46,528.34,527.83,518.16,490.48,482.43,481.78,473.88,472.99,462.38,461.87,488.12,543.38,450.29,474.64,472.6100001,513.89,445.52,576.7,466.65,479.11,531.31
2009,2009-05-05T00:00:00Z,0,Mississippi_River,13,532.7,531.7,18,2009-05-04T23:59:53Z,2009-05-04T23:59:46Z,443.7,526.61,575.81,447.99,597.18,547.47,487.29,446.18,466.75,451.34,538.78,505.39,504.72,487.71,483.22,462.52,458.83,453.56,449.99,449.99,441.93,441.93,536.3,448.44,452.86,603.46,597.53,592.16,590.42,583.09,578.27,571.82,564.38,561.21,553.79,545.36,544.85,540.32,540.11,528.93,528.41,518.25,491.11,482.93,482.18,474.47,473.61,463.01,462.48,488.1,543.72,450.86,475.24,472.4699997,514.26,453.85,577.38,467.59,480.92,529.07
2001,2001-04-03T00:00:00Z,0,Mississippi_River,13,539.8,539.6,14,2001-04-02T23:59:53Z,2001-04-02T23:59:46Z,432.43,522.76,573.78,438.52,594.89,546.17,482.71,436.58,462.08,441.59,538.87,504.51,504.69,484.72,483.34,459.48,458.99,443.25,439.82,439.82,430.32,430.32,532.7,438.85,442.92,603.08,595.1,592.18,587.68,583.01,575.57,571.58,562.86,561.05,550.62,544.83,540.4,536.12,535.82,528.1,524.3,518.28,486.4,478.45,477.39,470.02,468.43,459.27,457.1,484.2,539.37,440.57,470.64,469.3099999,512.87,438.15,572.7,458.94,474.9,525.82
2014,2014-08-18T00:00:00Z,0,Mississippi_River,13,547.9,547.3,33,2014-08-17T23:59:53Z,2014-08-17T23:59:46Z,429.64,519.66,572.77,431.15,593.3,545.49,480.4,430.38,460.78,440.45,538.84,504.96,504.8,483.85,483.43,458.74,458.8,440.79,440.17,431.55,429.28,422.68,529.85,431.26,440.85,602.89,593.43,592.1,585.54,583.11,573.88,571.88,561.7,560.94,547.56,545.25,537.97,536.18,531.07,527.92,520.47,518.02,481.52,479.85,473.56,471.05,463.24,460.29,452.35,483.73,537.43,440.4,471.07,467.9299998,511.98,438.87,568.79,456.03,471.55,524.49
2014,2014-07-29T00:00:00Z,0,Mississippi_River,13,529.4,529.2,30,2014-07-28T23:59:53Z,2014-07-28T23:59:46Z,429.99,522.62,574.23,433.87,594.95,545.76,482.24,432.9,462.29,440.3,538.93,505.04,504.9,484.19,483.24,459.13,458.91,441.23,439.96,433.99,428.11,428.11,532.72,434.33,440.99,602.81,595.18,592.03,588.21,582.77,576.21,571.85,562.9,560.86,550.34,544.83,540.4,536.15,535.2,527.98,524.16,518.03,485.5,478.1,477.62,469.62,468.06,459.33,457.08,483.77,539.31,440.15,470.26,468.0599999,512.33,436.74,570.99,457.33,472.31,525.16
2005,2005-04-04T00:00:00Z,0,Mississippi_River,13,534.3,533,14,2005-04-03T23:59:53Z,2005-04-03T23:59:46Z,431,522.84,575.39,437.41,597.47,545.91,481.64,435.48,462.1,441.97,538.97,504.92,504.74,485.18,483.27,460.08,458.98,444.82,439.26,439.26,428.68,428.68,533.18,437.94,443.99,602.98,597.83,592.33,590.56,582.57,578.16,571.65,564.02,561.12,552.09,544.02,541.93,536.58,536.1,527.82,524.41,518.16,485.39,478.39,476.8,470.15,466.94,459.85,455.72,484.64,540.7,440.69,470.42,469.67,513.21,437.74,571.56,459.24,474.31,526.51
2007,2007-07-16T00:00:00Z,0,Mississippi_River,13,533.8,532,29,2007-07-15T23:59:53Z,2007-07-15T23:59:46Z,429.63,519.12,572.3,430.66,592.29,545.01,479.6,430.01,459.96,440.69,539.1,505.14,505.02,484.01,483.54,459.16,458.84,440.86,440.23,431.26,429.21,421.01,528.88,430.96,440.53,602.98,592.28,591.82,583.37,582.83,572.76,572.02,561.38,561.1,545.97,544.92,536.78,535.69,529.84,527.84,519.76,518.08,480.65,479.27,472.8,470.4,462.16,459.42,451.61,483.77,536.31,440.21,470.45,467.94,511.75,435.48,569.37,456.5,471.83,524.46
